Module	RelatedReqID	RuleType	Statement	ConditionTrigger	SystemAction	ExceptionErrorCode	TestHint	Status	EvidencePath
Auth	FR-07	Validation	Đăng nhập yêu cầu email/mật khẩu khớp	User không tồn tại hoặc passwordHash null/sai	Từ chối đăng nhập	INVALID_CREDENTIALS	login wrong password / unknown email → 401	Implemented	auth/service/AuthService.java
Auth	FR-07	Gate	STUDENT PENDING được đăng nhập (không chờ duyệt)	role=STUDENT và status=PENDING	Cho phép login tiếp tục assert khác	N/A	login student PENDING sau verify email	Partial	auth/service/AuthService.java#assertApproved
Auth	FR-07	Gate	Tài khoản PENDING (không phải student/guest-judge onboard) không login	status=PENDING và không thuộc exception	401	ACCOUNT_PENDING_NOT_ALLOWED_LOGIN	login judge/mentor PENDING	Implemented	auth/service/AuthService.java
Auth	FR-07	Gate	Tài khoản REJECTED không login	status=REJECTED	401	ACCOUNT_REJECTED_NOT_ALLOWED_LOGIN	login rejected user	Implemented	auth/service/AuthService.java
Auth	FR-07	Gate	Chỉ status APPROVED (ngoài exception) được login	status khác PENDING/REJECTED/APPROVED	401	UNAUTHORIZED	login invalid status	Implemented	auth/service/AuthService.java
Auth	FR-05a	Gate	Guest judge PENDING chỉ login khi mustChangePassword=true	isTempAccount + EXTERNAL + JUDGE + PENDING + mustChangePassword	Cho phép login lần đầu	N/A	guest judge first login	Implemented	auth/service/AuthService.java
Auth	FR-07	Gate	Email phải verified trước login (trừ temp / đã verify / OAuth no-password)	emailVerifiedAt=null và có passwordHash và không temp	401	EMAIL_NOT_VERIFIED	login unverified student	Implemented	auth/service/AuthService.java
Auth	FR-05a	Gate	Invitation judge hết hạn chặn login	temp account có invitation chưa accept và expiresAt < now	401	INVITATION_EXPIRED	login after invitation expiry	Implemented	auth/service/AuthService.java
Auth	FR-05a	Gate	Temp judge không login khi mọi hackathon gắn đã kết thúc	isTempAccount và tất cả hackathon FINISHED hoặc sau eventEnd	401	TEMP_JUDGE_HACKATHON_ENDED	login after event_end	Implemented	invitations/.../GuestJudgeLifecycleServiceImpl.java
Auth	FR-07	SideEffect	Login thành công cập nhật lastLoginAt, cấp access+refresh, audit	Pass mọi gate	Tạo session + ACCOUNT_LOGIN	N/A	assert tokens + lastLoginAt	Implemented	auth/service/AuthService.java
Auth	FR-07	Validation	Đổi MK cần mật khẩu hiện tại đúng	currentPassword không khớp passwordHash	400	PASSWORD_MISMATCH	change-password wrong current	Implemented	auth/service/AuthService.java
Auth	FR-07	Validation	Mật khẩu mới phải khác mật khẩu hiện tại	newPassword matches current hash	422	NEW_PASSWORD_SAME_AS_CURRENT	same password	Implemented	auth/service/AuthService.java
Auth	FR-05a	StateTransition	Guest judge đổi MK lần đầu → APPROVED + clear mustChangePassword	isTemp EXTERNAL JUDGE PENDING + change password ok	status→APPROVED; mustChangePassword=false	N/A	guest change-password activates	Implemented	auth/service/AuthService.java
Auth	FR-05a	SideEffect	Đổi MK gắn accept invitation JUDGE chưa accept	Có invitation JUDGE acceptedAt=null mới nhất	set acceptedAt=now	N/A	invitation acceptedAt after change-pw	Implemented	auth/service/AuthService.java
Auth	FR-07	SideEffect	Đổi MK thành công revoke mọi session	changePassword ok	revokeAllForUser	N/A	old refresh invalid after change-pw	Implemented	auth/service/AuthService.java
Auth	FR-07	StateTransition	Refresh rotation: revoke session cũ, tạo refresh mới	POST refresh với raw token hợp lệ	rotate + access mới	N/A	refresh returns new refreshToken	Implemented	auth/service/AuthService.java + UserSessionService
Auth	FR-07	Gate	Refresh vẫn kiểm tra APPROVED/email verify/temp-judge ended	rotate ok rồi assertApproved/assertEmailVerified/assertHackathonNotEnded	Có thể 401 sau rotate	ACCOUNT_PENDING / EMAIL_NOT_VERIFIED / TEMP_JUDGE_HACKATHON_ENDED	refresh after reject account	Implemented	auth/service/AuthService.java
Auth	FR-07	SideEffect	Logout revoke một refresh token	rawRefreshToken blank → no-op; có token → revoke	revokedAt=now	N/A	logout then refresh fails	Implemented	auth/service/AuthService.java
Auth	FR-07	SideEffect	Logout-all revoke mọi session user hiện tại	Bearer authenticated	revokeAllActiveByUserId	N/A	logout-all invalidates all devices	Implemented	auth/service/AuthService.java
Auth	FR-07	Validation	Email đăng ký không được trùng	existsByEmail	409	ACCOUNT_DUPLICATE_EMAIL	register duplicate email	Implemented	auth/service/RegistrationService.java
Auth	FR-07	Validation	confirmPassword phải khớp password	password != confirmPassword	422	VALIDATION_FAILED	mismatch confirm	Implemented	auth/service/RegistrationService.java
Auth	FR-07	StateTransition	Đăng ký STUDENT mở → PENDING, userType UNSPECIFIED, chưa verify	POST register hợp lệ	INSERT user PENDING + gửi verify email	N/A	register creates PENDING	Implemented	auth/service/RegistrationService.java
