Module	RelatedReqID	RuleType	Statement	ConditionTrigger	SystemAction	ExceptionErrorCode	TestHint	Status	EvidencePath
Submission	FR-16	Authorization	Chỉ sinh viên APPROVED được nộp bài	Actor role≠STUDENT hoặc status≠APPROVED	Từ chối submit	FORBIDDEN	POST submit với JUDGE/DRAFT student	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Authorization	Người nộp phải là thành viên ACCEPTED của đội	Không có TeamMember ACCEPTED	Từ chối submit	NOT_TEAM_MEMBER	Submit teamId không thuộc user	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Validation	Đội phải ACTIVE mới nộp	team.status≠ACTIVE	Từ chối	TEAM_NOT_ACTIVE	Submit đội PENDING/ELIMINATED	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Gate	Hackathon FINISHED không nhận bài	hackathon.status=FINISHED	Từ chối	EVENT_FINISHED	Submit sau FINISHED	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16/FR-30A	Gate	Hackathon PENDING_CONFIRM (đã đóng sổ) không nhận bài	hackathon.status=PENDING_CONFIRM	Từ chối	SUBMISSION_CLOSED	Submit sau lock CK	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Gate	Hackathon DRAFT chưa mở nộp	hackathon.status=DRAFT	Từ chối	SUBMISSION_NOT_STARTED	Submit khi DRAFT	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Gate	Chỉ ONGOING mới nộp	status≠ONGOING (các case còn lại)	Từ chối	HACKATHON_NOT_ONGOING	Submit CANCELLED	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Invariant	Round/Track phải cùng hackathon với đội	team.hackathonId≠round.hackathonId	Từ chối	CROSS_HACKATHON_VIOLATION	Cross-hackathon submit	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-15/FR-16	Gate	Round phải is_active	Round chưa activate hoặc đã deactivate	Từ chối	ROUND_NOT_ACTIVE	Submit round inactive	Implemented	rounds/guard/RoundAccessGuard.java;SubmissionServiceImpl.java
Submission	FR-16	Validation	Sơ loại bắt buộc trackId; CK bắt buộc roundId không trackId	isFinal+trackId hoặc !isFinal+chỉ roundId hoặc thiếu cả hai	Từ chối	INVALID_STATE	Submit CK với trackId / SL thiếu trackId	Implemented	submissions/service/impl/SubmissionServiceImpl.java#validateSubmissionRouting
Submission	FR-16	Authorization	Sơ loại: đội phải có TeamRoundTrack	Không có TRT team+track	Từ chối	TEAM_NOT_IN_TRACK	Submit track chưa gán	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16/FR-30	Authorization	Sơ loại chỉ PARTICIPATING được nộp/sửa; ADVANCED|ELIMINATED chặn	TRT.participationStatus≠PARTICIPATING	403	PRELIM_NOT_MUTABLE	Submit sau advance/eliminate	Implemented	teams/support/PrelimMutationGuard.java
Submission	FR-26	Authorization	CK: đội phải có TeamRoundParticipation	Không có TRP team+finalRound	Từ chối	TEAM_NOT_IN_ROUND	Submit CK chưa advance	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Validation	Multipart: repoUrl phải GitHub public đúng pattern; cấm Drive	repoUrl blank/Drive/sai pattern	Từ chối	VALIDATION_FAILED|INVALID_REPO_PLATFORM	Submit Drive / sai URL	Implemented	submissions/support/GitHubRepoValidator.java
Submission	FR-16	Validation	HEAD GitHub 404/≥400 → không public (nếu check bật)	HTTP 404 hoặc ≥400 hoặc network error	Từ chối	REPO_NOT_PUBLIC	Private repo / toggle app.submission.github-public-check-enabled	Implemented	submissions/support/GitHubRepoValidator.java
Submission	FR-16	Validation	JSON mode: cấm Drive trong repoUrl	repoUrl chứa drive.google.com	Từ chối	INVALID_REPO_PLATFORM	Legacy JSON submit Drive	Implemented	SubmissionServiceImpl#validateRepoUrl
Submission	FR-16	Validation	JSON mode: slideUrl không được đuôi .pdf	slideUrl endsWith .pdf	Từ chối	INVALID_SLIDE_FORMAT	slideUrl=...pdf	Implemented	SubmissionServiceImpl#validateSlideUrl
Submission	FR-16	Validation	Sau deadline/close-early (policy≠HARD_LOCK) bắt buộc lateReason	afterDeadline && !HARD_LOCK && blank lateReason	Từ chối	LATE_REASON_REQUIRED	Late submit không reason	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Policy	afterDeadline = closedEarly≠null OR now≥submissionDeadline	Close sớm hoặc hết hạn	Đánh isLate / resolve status	N/A	Close-early rồi submit ngay	Implemented	SubmissionServiceImpl#submitInternal
Submission	FR-16	StateTransition	Trong hạn → status SUBMITTED	!afterDeadline	Set SUBMITTED	N/A	Submit trước deadline	Implemented	SubmissionServiceImpl#resolveSubmitStatus
Submission	FR-16/FR-26	StateTransition	HARD_LOCK + afterDeadline → REJECTED	Late + policy HARD_LOCK (CK)	Set REJECTED isLate	N/A	Final late submit	Implemented	SubmissionServiceImpl#resolveSubmitStatus;LateSubmissionPolicy.java
Submission	FR-16/FR-16A	StateTransition	ALLOW_LATE_PENDING + afterDeadline → LATE_PENDING	Late + ALLOW_LATE_PENDING	Set LATE_PENDING chờ duyệt	N/A	Prelim late submit	Implemented	SubmissionServiceImpl;LateSubmissionPolicy.java
