Module	RelatedReqID	RuleType	Statement	ConditionTrigger	SystemAction	ExceptionErrorCode	TestHint	Status	EvidencePath
Hackathon	FR-01	Invariant	(name; season; year) phải unique	CREATE/CLONE/UPDATE khi bộ ba đã tồn tại	Reject ConflictException	HACKATHON_DUPLICATE	TC create duplicate name+season+year	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	Invariant	slug phải unique	CREATE/CLONE/UPDATE slug đã dùng	Reject ConflictException	HACKATHON_DUPLICATE	TC duplicate slug	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	Validation	eventStart phải >= registrationEnd	regEnd và eventStart đều khác null và eventStart < regEnd	Reject BusinessRuleException	HACKATHON_DATE_RANGE	TC eventStart before regEnd	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	SideEffect	Hackathon mới luôn DRAFT; gắn createdBy nếu có user	CREATE hoặc CLONE thành công	Set status=DRAFT; audit HACKATHON_CREATE/CLONE	N/A	TC create returns DRAFT	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	SideEffect	Clone copy cấu trúc từ source + metadata clonedFrom/clonedAt	CLONE từ sourceId tồn tại	copyStructureFrom; audit HACKATHON_CLONE	N/A	TC clone structure	Implemented	hackathons/service/impl/HackathonServiceImpl.java; HackathonCloneSupport.java
Hackathon	FR-01	StateTransition	Chỉ sửa khi DRAFT	UPDATE khi status != DRAFT	Reject	HACKATHON_NOT_DRAFT	TC update ONGOING	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	StateTransition	Chỉ xóa khi DRAFT	DELETE khi status != DRAFT	Reject	HACKATHON_NOT_DRAFT	TC delete non-DRAFT	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	Invariant	Không xóa khi còn Round/Track/Event con	DELETE và exists track|round|event	Reject	HACKATHON_HAS_CHILDREN	TC delete with children	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	Gate	FINISHED = archived — chặn mutation	archiveGuard trên update/delete/banner	Reject ConflictException	HACKATHON_ARCHIVED	TC mutate FINISHED	Implemented	hackathons/support/HackathonArchiveGuard.java
Hackathon	FR-01	Validation	Banner chỉ đổi khi DRAFT hoặc ONGOING	uploadBanner status khác DRAFT/ONGOING	Reject	HACKATHON_NOT_DRAFT	TC banner PENDING_CONFIRM	Implemented	hackathons/service/impl/HackathonServiceImpl.java
Hackathon	FR-01	Validation	Banner file: bắt buộc; ≤5MB; image MIME	uploadBanner file invalid	Reject	VALIDATION_FAILED	TC banner >5MB	Implemented	hackathons/support/HackathonBannerStorageService.java
Hackathon	FR-06	StateTransition	Chỉ DRAFT→ONGOING; ONGOING→PENDING_CONFIRM; PENDING_CONFIRM→FINISHED	PATCH status transition không trong ALLOWED_TRANSITIONS	Reject	STATUS_TRANSITION_INVALID	G1-E03; invalid transition	Implemented	hackathons/service/impl/HackathonStatusServiceImpl.java
